time_sec,dbfs
39.8,-35.72185602174011
39.9,-35.89033140382726
40.0,-35.64428417282082
40.1,-37.80934191460161
40.2,-37.90373711304592
40.3,-38.50450420359509
40.4,-37.13600146975099
40.5,-37.181183582031586
40.6,-39.45568096779112
40.7,-36.02352577644893
40.8,-37.762568133630985
40.9,-38.960816012344615
41.0,-41.31636424215624
41.1,-39.94493235618436
41.2,-39.31496600842875
41.3,-39.70319498505416
41.4,-38.171587461169636
41.5,-37.53960891288023
41.6,-36.75536127527919
41.7,-36.164638415832634
41.8,-34.150319667078016
41.9,-35.5322330506136
42.0,-40.244475680664316
42.1,-39.26753140518906
42.2,-39.367609328051586
42.3,-39.05221360175788
42.4,-37.238850609447056
42.5,-37.88234549960284
42.6,-36.729384065305915
42.7,-35.29494638869784
42.8,-35.24630275230887
42.9,-36.3485547171922
43.0,-36.07811061783313
43.1,-35.642503084570826
43.2,-37.27040031771707
43.3,-37.61738992829758
43.4,-36.36480496419419
43.5,-33.365218861676766
43.6,-35.015709871119576
43.7,-36.82436015790762
43.8,-37.46903736770827
43.9,-35.58466314077946
44.0,-36.73354780625728
44.1,-39.84668052054347
44.2,-39.733095222067845
44.3,-38.57691216972496
44.4,-37.27439470283842
44.5,-38.91129646149464
44.6,-37.06921663666679
44.7,-39.6955182067333
44.8,-39.959500370198555
44.9,-42.372381168863775
45.0,-39.68876541217897
45.1,-36.02344449513054
45.2,-39.03400842682759
45.3,-38.10396738908538
45.4,-41.355857694513496
45.5,-40.248946194059904
45.6,-37.90593267212331
45.7,-36.36956044607074
45.8,-36.331246660111574
45.9,-37.724717629835666
46.0,-34.89664884599235
46.1,-36.69595915022897
46.2,-41.175295785311135
46.3,-37.58300514856653
46.4,-38.91428060597371
46.5,-36.543296679738
46.6,-35.149400331599026
46.7,-37.39441044792731
46.8,-36.0061318166266
46.9,-35.079025241543704
47.0,-36.853834546646034
47.1,-35.21837552879425
47.2,-35.24779394699141
47.3,-37.22276638514992
47.4,-37.13044862265436
47.5,-37.24717143057074
47.6,-36.76133906573884
47.7,-35.83889007909179
47.8,-33.41272537843759
47.9,-36.771948898522446
48.0,-37.03357461883377
48.1,-36.490767026821146
48.2,-36.337601930040286
48.3,-39.14947479700245
48.4,-36.0265731981338
48.5,-36.0676031148151
48.6,-36.925694445998175
48.7,-35.610009032246914
48.8,-35.918179528648075
48.9,-35.98907416105754
49.0,-38.76780150250244
49.1,-37.14323063521543
49.2,-36.90208158831983
49.3,-36.310008701138294
49.4,-37.03077484130994
49.5,-40.06633634340743
49.6,-40.69476705246254
49.7,-37.85645568491311
49.8,-36.629454393453386
49.9,-40.55351707906389
50.0,-37.79159400060639
50.1,-37.28240646385142
50.2,-39.23799206522487
50.3,-37.69403098385078
50.4,-39.5126833115449
50.5,-41.301539879473985
50.6,-37.699028230912035
50.7,-34.36020144303407
50.8,-37.91716583237226
50.9,-37.11208068364834
51.0,-36.08505909902357
51.1,-35.29742675577197
51.2,-32.73653512017966
51.3,-35.96795060631076
51.4,-32.52538461458249
51.5,-34.34975376567377
51.6,-35.60522308799417
51.7,-39.61985820887735
51.8,-36.58684187402183
51.9,-37.40302666104123
52.0,-38.84907225320826
52.1,-36.310425258993895
52.2,-38.45628312684288
52.3,-37.6115864983645
52.4,-35.91974506281882
52.5,-33.62512784783139
52.6,-34.64292519010435
52.7,-36.30385781412049
52.8,-36.656895899930504
52.9,-37.03218052899877
53.0,-38.39696573854266
53.1,-37.9536617584463
53.2,-38.22494359035947
53.3,-38.17809297843465
53.4,-35.355418714940335
53.5,-35.436295444913135
53.6,-36.214380564925634
53.7,-38.57356906978707
53.8,-40.54560137887449
53.9,-41.154714080982295
54.0,-42.31883934697876
54.1,-39.63158461705062
54.2,-42.336187229665626
54.3,-37.8793311962668
54.4,-39.158443845983506
54.5,-37.85928715832996
54.6,-35.134967711938735
54.7,-35.57671476009105
54.8,-35.89639974205122
54.9,-36.9243447884758
55.0,-36.22478511097391
55.1,-37.33625145934704
55.2,-37.149311609375616
55.3,-37.484149654759
55.4,-37.72451123649641
55.5,-39.78808373876342
55.6,-34.7696431638133
55.7,-35.47009734092538
55.8,-37.20518733958661
55.9,-37.57702604453594
56.0,-36.18962316346767
56.1,-33.36561861265803
56.2,-32.355113889152356
56.3,-36.52178172349516
56.4,-37.94587676751808
56.5,-39.22275711835899
56.6,-37.20162802487567
56.7,-37.65043549607738
56.8,-36.70615026965655
56.9,-34.04946131869517
57.0,-35.753064849764094
57.1,-40.95298512951756
57.2,-34.6309073398305
57.3,-36.23257502293403
57.4,-36.06006701576009
57.5,-39.37333919632995
57.6,-38.309836134089664
57.7,-34.32137144670496
57.8,-34.251066462803706
57.9,-32.42388265509139
58.0,-36.4470306818426
58.1,-35.9116450632426
58.2,-37.38023127782195
58.3,-39.13632183729947
58.4,-37.72395632702447
58.5,-37.45763550959417
58.6,-40.50995618602781
58.7,-39.39255317749611
58.8,-38.54126298676572
58.9,-37.92775671410156
59.0,-38.30167054774534
59.1,-39.213940784963405
59.2,-38.28139778149954
59.3,-37.184254292210014
59.4,-36.8778571628127
59.5,-36.74784188106872
59.6,-37.19411197463539
59.7,-36.00237956627439
59.8,-38.46530798828609
59.9,-38.5111662263522
60.0,-40.90119254287626
